Gender,Country Name,λ_0,Makeham: λ,λ_55,g,m,b,lnh
Female,Lithuania,205x10^-5,41x10^-5,0.20894359953814753,9.74%,99.52,10.26,-12.026
Female,Luxembourg,26x10^-5,0x10^-5,0.16860801866619554,10.89%,100.15,9.19,-13.121
Female,Netherlands,41x10^-5,12x10^-5,0.16211077750901356,10.73%,100.19,9.32,-12.985
Female,New Zealand,60x10^-5,33x10^-5,0.1680766982633592,11.17%,99.64,8.95,-13.326
Female,Northern Ireland,101x10^-5,0x10^-5,0.15159295359952904,10.13%,101.4,9.87,-12.56
Female,Norway,40x10^-5,5x10^-5,0.16860210040332402,11.05%,100.05,9.05,-13.263
Female,Poland,52x10^-5,9x10^-5,0.18201480384745086,10.45%,98.85,9.57,-12.59
Female,Portugal,60x10^-5,27x10^-5,0.16796195119475488,11.31%,99.92,8.84,-13.484
Female,Russia,216x10^-5,159x10^-5,0.23430055991021895,10.65%,95.87,9.39,-12.449
Female,Scotland,78x10^-5,33x10^-5,0.1674558017042896,10.40%,99.47,9.62,-12.608
Female,Slovakia,63x10^-5,9x10^-5,0.23300956072253087,11.00%,96.51,9.09,-12.822
Female,Slovenia,40x10^-5,0x10^-5,0.1640789692566735,10.70%,100.1,9.34,-12.947
Female,Spain,32x10^-5,17x10^-5,0.145615541305683,11.24%,101.62,8.9,-13.604
Female,Sweden,39x10^-5,11x10^-5,0.16693336467738953,11.51%,99.38,8.69,-13.597
Female,Switzerland,23x10^-5,6x10^-5,0.1517011822973467,11.15%,101.25,8.97,-13.482
Female,Taiwan,63x10^-5,40x10^-5,0.15702580905299027,11.15%,99.61,8.97,-13.3
Female,The United States of America,88x10^-5,40x10^-5,0.1490662939178955,9.97%,101.41,10.03,-12.418
Female,Ukraine,176x10^-5,128x10^-5,0.26018364374997116,11.12%,94.55,8.99,-12.711
Female,United Kingdom,61x10^-5,29x10^-5,0.15109269357022578,10.90%,100.14,9.17,-13.132
Female,West Germany,36x10^-5,9x10^-5,0.17611684588645543,10.97%,99.66,9.12,-13.138
Male,Australia,111x10^-5,66x10^-5,0.20002779105837162,11.19%,97.5,8.94,-13.1
Male,Austria,80x10^-5,0x10^-5,0.21501294446184438,10.06%,97.44,9.94,-12.103
Male,Belarus,525x10^-5,4x10^-5,0.2765456466075952,7.12%,95.24,14.04,-9.424
Male,Belgium,86x10^-5,27x10^-5,0.21893616479121827,10.28%,96.83,9.73,-12.226
Male,Canada,96x10^-5,36x10^-5,0.18818310213509293,10.53%,98.22,9.5,-12.595
Male,Croatia,117x10^-5,0x10^-5,0.2540306853979927,9.74%,94.41,10.27,-11.525
Male,Czechia,112x10^-5,0x10^-5,0.275150258014556,9.80%,94.86,10.2,-11.621
Male,Denmark,120x10^-5,14x10^-5,0.22438932697057137,10.25%,96.47,9.76,-12.164
Male,East Germany,76x10^-5,0x10^-5,0.23002970655216579,9.61%,97.14,10.4,-11.681
Male,England and Wales,96x10^-5,55x10^-5,0.19925980235120458,10.70%,97.47,9.35,-12.661
Male,Estonia,203x10^-5,0x10^-5,0.25836796033859927,8.33%,97.04,12.01,-10.567
Male,Finland,142x10^-5,34x10^-5,0.23416279074665794,9.91%,97.3,10.09,-11.954
Male,France,117x10^-5,32x10^-5,0.18664529067403735,9.44%,99.82,10.59,-11.785
Male,Germany,78x10^-5,1x10^-5,0.22495018228961233,10.10%,96.87,9.9,-12.074
Male,Greece,113x10^-5,14x10^-5,0.20277000858988944,9.67%,98.58,10.34,-11.869
Male,Hungary,124x10^-5,0x10^-5,0.2519880837072077,8.97%,94.27,11.14,-10.87
Male,Iceland,134x10^-5,0x10^-5,0.25186843885928745,12.90%,94.79,7.75,-14.273
Male,Ireland,114x10^-5,38x10^-5,0.22988623218160226,10.67%,96.97,9.37,-12.582
Male,Israel,61x10^-5,0x10^-5,0.18293174291964948,10.17%,99,9.83,-12.359
Male,Italy,66x10^-5,22x10^-5,0.21230252813633493,11.06%,96.75,9.04,-12.903
Male,Japan,89x10^-5,38x10^-5,0.19468243869217852,10.55%,97.93,9.48,-12.583
Male,Korea,108x10^-5,35x10^-5,0.22757334839359541,10.19%,96.68,9.81,-12.137
Male,Latvia,369x10^-5,0x10^-5,0.26909194464198216,7.86%,96.11,12.72,-10.097
Male,Lithuania,352x10^-5,0x10^-5,0.2341210845591598,7.33%,97.84,13.63,-9.789
Male,Luxembourg,100x10^-5,0x10^-5,0.19210404973269354,10.81%,95.93,9.25,-12.594
Male,Netherlands,54x10^-5,17x10^-5,0.21858271774547977,11.12%,96.09,8.99,-12.88
Male,New Zealand,112x10^-5,48x10^-5,0.19918291386936626,10.88%,97.37,9.19,-12.814
Male,Northern Ireland,97x10^-5,22x10^-5,0.197927904798225,10.16%,97.84,9.85,-12.223
Male,Norway,118x10^-5,32x10^-5,0.214668317783337,11.01%,96.44,9.08,-12.827
Male,Poland,193x10^-5,0x10^-5,0.2270198042851554,8.48%,97.14,11.8,-10.703
Male,Portugal,118x10^-5,39x10^-5,0.2236774438094478,9.62%,97.93,10.39,-11.766
Male,Russia,749x10^-5,287x10^-5,0.28348024583568676,7.62%,95.59,13.12,-9.859
Male,Scotland,252x10^-5,106x10^-5,0.20081226103764005,10.38%,96.55,9.64,-12.285
Male,Slovakia,167x10^-5,0x10^-5,0.2667402250322879,9.09%,94.91,11,-11.029
Male,Slovenia,92x10^-5,0x10^-5,0.2295364423664819,10.01%,95.89,9.99,-11.9
Male,Spain,71x10^-5,1x10^-5,0.20175517218340341,10.04%,98.34,9.96,-12.175
Male,Sweden,71x10^-5,25x10^-5,0.22341733879058065,11.40%,96.12,8.77,-13.126
Male,Switzerland,73x10^-5,25x10^-5,0.21277127978755858,11.07%,97.37,9.04,-12.977
Male,Taiwan,200x10^-5,92x10^-5,0.1881734457456409,8.89%,100.03,11.25,-11.314
Male,The United States of America,159x10^-5,62x10^-5,0.1940375214615278,9.42%,98.98,10.62,-11.684
Male,Ukraine,550x10^-5,204x10^-5,0.28718353007801767,8.12%,94.28,12.31,-10.167
Male,United Kingdom,108x10^-5,63x10^-5,0.19933791733894723,10.73%,97.28,9.32,-12.672
Male,West Germany,78x10^-5,5x10^-5,0.2239351145177169,10.28%,96.71,9.73,-12.213
Total,Australia,84x10^-5,49x10^-5,0.16793001363150525,11.15%,99.48,8.97,-13.283
Total,Austria,57x10^-5,5x10^-5,0.18075837919292007,10.34%,99.31,9.67,-12.538
Total,Belarus,342x10^-5,132x10^-5,0.23593754655115054,8.27%,97.36,12.1,-10.541
Total,Belgium,69x10^-5,21x10^-5,0.1779097033475548,10.24%,99.33,9.77,-12.45
Total,Canada,72x10^-5,26x10^-5,0.1504299436921789,10.42%,100.46,9.6,-12.729
Total,Croatia,85x10^-5,0x10^-5,0.23184631070837866,10.19%,95.97,9.81,-12.063
Total,Czechia,83x10^-5,6x10^-5,0.23707261182524916,10.19%,96.63,9.82,-12.127
Total,Denmark,92x10^-5,0x10^-5,0.176703766170424,10.15%,98.65,9.85,-12.299
Total,East Germany,62x10^-5,6x10^-5,0.1956889030002526,9.87%,99.38,10.13,-12.125
Total,England and Wales,77x10^-5,40x10^-5,0.1647284274651797,10.67%,99.28,9.38,-12.827
Total,Estonia,147x10^-5,34x10^-5,0.19396710371428386,8.99%,99.46,11.13,-11.35
Total,Finland,92x10^-5,32x10^-5,0.18350465638034968,10.25%,99.43,9.75,-12.471
Total,France,82x10^-5,26x10^-5,0.14444097198088993,9.54%,102.86,10.49,-12.159
Total,Germany,58x10^-5,6x10^-5,0.18871797029922285,10.29%,98.9,9.72,-12.447
Total,Greece,78x10^-5,30x10^-5,0.18334848390314862,10.58%,98.93,9.45,-12.711
Total,Hungary,94x10^-5,0x10^-5,0.22557776160159693,9.28%,96.58,10.78,-11.336
Total,Iceland,69x10^-5,0x10^-5,0.20726282029540186,12.96%,95.89,7.72,-14.468
Total,Ireland,76x10^-5,25x10^-5,0.1770856879097549,10.63%,98.86,9.41,-12.751
Total,Israel,53x10^-5,15x10^-5,0.16363131267247494,10.80%,99.3,9.26,-12.953
Total,Italy,51x10^-5,18x10^-5,0.17023212930158443,11.05%,99.15,9.05,-13.163
Total,Japan,72x10^-5,36x10^-5,0.13525287352286294,10.38%,101.71,9.63,-12.827
Total,Korea,83x10^-5,44x10^-5,0.16710472230886636,10.67%,99.14,9.38,-12.813
Total,Latvia,220x10^-5,57x10^-5,0.21632932100653945,8.70%,98.17,11.49,-10.984
Total,Lithuania,277x10^-5,86x10^-5,0.21443408903000521,8.33%,99.73,12.01,-10.792
Total,Luxembourg,64x10^-5,0x10^-5,0.17455936073683412,10.55%,98.7,9.47,-12.665
Total,Netherlands,48x10^-5,13x10^-5,0.17725282454912158,10.78%,98.54,9.28,-12.847
Total,New Zealand,84x10^-5,44x10^-5,0.17786311045296307,11.04%,98.58,9.06,-13.087
Total,Northern Ireland,99x10^-5,19x10^-5,0.16513175171149533,10.15%,99.76,9.85,-12.418
Total,Norway,80x10^-5,19x10^-5,0.18166936951432053,10.88%,98.65,9.19,-12.954
Total,Poland,123x10^-5,9x10^-5,0.19316372121248074,9.00%,99.22,11.11,-11.342
Total,Portugal,88x10^-5,38x10^-5,0.18469717634491137,10.17%,99.65,9.83,-12.421
Total,Russia,477x10^-5,303x10^-5,0.24200149995980702,8.94%,96.68,11.18,-11.062
Total,Scotland,163x10^-5,81x10^-5,0.17699377466385735,10.48%,98.09,9.55,-12.532
Total,Slovakia,116x10^-5,0x10^-5,0.24170729634203716,9.61%,96.56,10.4,-11.623
Total,Slovenia,67x10^-5,0x10^-5,0.17720865000714178,9.98%,99.03,10.02,-12.189
Total,Spain,52x10^-5,12x10^-5,0.16231071588161688,10.37%,100.57,9.65,-12.693
Total,Sweden,55x10^-5,20x10^-5,0.1846358326657268,11.37%,97.99,8.8,-13.316
Total,Switzerland,48x10^-5,19x10^-5,0.16952458839143375,11.06%,99.54,9.04,-13.211
Total,Taiwan,131x10^-5,73x10^-5,0.17107543218089558,9.74%,100.17,10.26,-12.089
Total,The United States of America,123x10^-5,50x10^-5,0.1631391217772545,9.53%,100.76,10.5,-11.95
Total,Ukraine,360x10^-5,226x10^-5,0.26509639333487656,9.43%,95.14,10.6,-11.334
Total,United Kingdom,85x10^-5,45x10^-5,0.16561312334676506,10.68%,99.11,9.37,-12.819
Total,West Germany,57x10^-5,6x10^-5,0.18718054256863648,10.38%,98.81,9.63,-12.521
